wavelength_nm,relative_intensity
1529.85,0.770798
1529.86,0.7726956
1529.87,0.7733379
1529.88,0.7781616
1529.89,0.7796563
1529.9,0.78048277
1529.91,0.78250974
1529.92,0.7822024
1529.93,0.7854268
1529.94,0.78573006
1529.95,0.78785974
1529.96,0.7909122
1529.97,0.7886998
1529.98,0.7881236
1529.99,0.7909111
1530.0,0.79589945
1530.01,0.79786116
1530.02,0.7984933
1530.03,0.7998078
1530.04,0.79764044
1530.05,0.79981023
1530.06,0.8013321
1530.07,0.80085325
1530.08,0.8040382
1530.09,0.8051005
1530.1,0.80385053
1530.11,0.8079154
1530.12,0.80529106
1530.13,0.80397916
1530.14,0.80606383
1530.15,0.8088404
1530.16,0.8056713
1530.17,0.8032462
1530.18,0.8122088
1530.19,0.8107378
1530.2,0.81266505
1530.21,0.814341
1530.22,0.8132161
1530.23,0.81699854
1530.24,0.81591344
1530.25,0.819148
1530.26,0.82028586
1530.27,0.8215583
1530.28,0.8231938
1530.29,0.8235645
1530.3,0.82199645
1530.31,0.8259871
1530.32,0.82610595
1530.33,0.8318065
1530.34,0.8344951
1530.35,0.83840007
1530.36,0.83322835
1530.37,0.8352436
1530.38,0.8326954
1530.39,0.83832675
1530.4,0.8360216
1530.41,0.8368866
1530.42,0.8370835
1530.43,0.83845204
1530.44,0.83676684
1530.45,0.8384236
1530.46,0.8412542
1530.47,0.8376318
1530.48,0.83919233
1530.49,0.84314245
1530.5,0.84402657
1530.51,0.84218115
1530.52,0.840775
1530.53,0.84610516
1530.54,0.8500685
1530.55,0.8562939
1530.56,0.85073346
1530.57,0.8509178
1530.58,0.8525282
1530.59,0.8561248
1530.6,0.8538121
1530.61,0.8562545
1530.62,0.8586013
1530.63,0.8613249
1530.64,0.8613124
1530.65,0.8627048
1530.66,0.862534
1530.67,0.86400986
1530.68,0.8628872
1530.69,0.8654009
1530.7,0.8620494
1530.71,0.8644572
1530.72,0.8660526
1530.73,0.8705235
1530.74,0.8707301
1530.75,0.8707687
1530.76,0.87143993
1530.77,0.8701332
1530.78,0.86746883
1530.79,0.87194777
1530.8,0.87144655
1530.81,0.8737568
1530.82,0.8698965
1530.83,0.87198824
1530.84,0.87652636
1530.85,0.87303597
1530.86,0.8730686
1530.87,0.8735026
1530.88,0.8774657
1530.89,0.87960386
1530.9,0.87768805
1530.91,0.87633824
1530.92,0.8773533
1530.93,0.8794329
1530.94,0.8818567
1530.95,0.8837983
1530.96,0.8846001
1530.97,0.88369364
1530.98,0.8772863
1530.99,0.88268
1531.0,0.88671684
1531.01,0.88774407
1531.02,0.88535714
1531.03,0.8898907
1531.04,0.8932456
1531.05,0.8922306
1531.06,0.8919218
1531.07,0.8924036
1531.08,0.89006704
1531.09,0.8894461
1531.1,0.8901685
1531.11,0.8890841
1531.12,0.89031804
1531.13,0.8918649
1531.14,0.8957739
1531.15,0.89647675
1531.16,0.8966266
1531.17,0.9000227
1531.18,0.8984528
1531.19,0.89891636
1531.2,0.9030802
1531.21,0.90182984
1531.22,0.9022578
1531.23,0.9037961
1531.24,0.9055653
1531.25,0.9031376
